item_id,name,width_cm,depth_cm,height_cm,mass_kg,priority,expiry_date,usage_limit,preferred_zone
000133,Antibiotic_Supply,14.4,22.7,45.1,7.37,56,2027-01-02T00:00:00Z,3405,Lab
000134,EV_Suit_Battery,21.3,38.4,24.5,10.02,78,,633,Airlock
000135,Oxygen_Cylinder,16.5,28.2,84.4,14.6,92,,3709,Airlock
000136,Battery_Pack,48.3,11.4,18.0,4.96,9,,973,Power_Bay
000137,Lab_Microscope,35.4,31.7,11.8,6.62,12,,1483,Medical_Bay
000138,Fire_Extinguisher,45.8,48.6,37.4,41.62,100,,354,Crew_Quarters
000139,Medical_Scanner,31.0,39.7,16.6,10.21,64,2026-11-04T00:00:00Z,88,Medical_Bay
000140,Handheld_Spectrometer,21.7,10.3,43.3,4.84,52,,3742,Lab
000141,Pressure_Regulator,10.6,16.3,41.9,3.62,9,,3988,Airlock
000142,Pressure_Regulator,27.3,10.1,45.7,6.3,56,,2024,Engineering_Bay
000143,Water_Bottle,32.9,30.9,34.6,17.59,12,,1040,Storage_Bay
000144,Lab_Microscope,10.8,43.9,48.5,11.5,92,,79,Lab
000145,Navigation_Module,29.5,49.8,32.1,23.58,40,,3411,Cockpit
000146,Asteroid_Sample_Container,20.9,11.6,17.3,2.8,30,,2339,Storage_Bay
000147,Vacuum_Sealed_Tools,14.5,15.6,39.7,4.49,60,,920,Maintenance_Bay
000148,Handheld_Spectrometer,21.1,13.6,46.4,6.66,65,,4233,Engineering_Bay
000149,Gyroscope_Module,13.9,48.3,27.7,9.3,7,,1917,Engineering_Bay
000150,Asteroid_Sample_Container,25.1,14.9,12.7,4.6,55,,3266,Storage_Bay
000151,Food_Packet,26.1,26.1,19.6,2.7,74,2026-07-14T00:00:00Z,25,Crew_Quarters
000152,Emergency_Oxygen_Mask,15.1,43.3,21.9,7.16,27,,1209,Medical_Bay
000153,Circuit_Board,23.6,25.4,22.0,6.59,99,,246,Engineering_Bay
000154,First_Aid_Kit,16.1,20.2,28.7,8.0,29,,32,Medical_Bay
000155,Antibiotic_Supply,38.8,33.9,34.1,22.43,27,2025-07-23T00:00:00Z,2952,Lab
000156,Asteroid_Sample_Container,12.7,15.3,26.7,6.6,18,,4591,Lab
000157,Seed_Packets,20.0,18.6,23.6,2.4,56,,48,Lab
000158,Space_Suit,49.6,48.3,37.6,45.04,69,,1990,Storage_Bay
000159,Thruster_Fuel,10.7,24.2,20.9,2.71,13,,4037,Engine_Bay
000160,Microgravity_Lab_Kit,21.2,22.5,22.5,5.8,50,,41,Crew_Quarters
000161,Tether_Reel,40.7,47.5,21.8,21.07,41,,3753,External_Storage
000162,Pressure_Regulator,29.7,24.6,17.1,6.25,85,,4804,Engineering_Bay
000163,Pressure_Regulator,31.4,45.3,22.7,16.14,17,,1476,Airlock
000164,Pressure_Regulator,13.9,25.0,36.7,6.38,25,,1135,Engineering_Bay
000165,Solar_Panel,58.6,54.0,2.5,16.1,19,,723,Power_Bay
000166,Water_Purification_Unit,21.4,44.7,49.4,23.63,37,,3958,Life_Support
000167,Water_Bottle,17.8,13.1,18.3,2.13,76,,2788,Storage_Bay
000168,Research_Samples,29.7,21.3,10.4,9.0,49,,2622,Storage_Bay
000169,Microgravity_Lab_Kit,26.8,29.0,26.0,6.4,89,,13,Crew_Quarters
000170,Tether_Reel,17.3,16.1,18.7,2.6,76,,515,External_Storage
000171,LED_Work_Light,34.2,25.0,28.0,11.97,12,,179,Engineering_Bay
000172,Communication_Device,20.9,46.5,29.6,14.38,60,,1156,Crew_Quarters
000173,Fire_Extinguisher,42.3,47.7,49.6,50.04,45,,3936,Engineering_Bay
000174,Navigation_Module,43.6,20.1,34.2,14.99,74,,120,Command_Center
000175,Waste_Management_Kit,16.1,26.6,26.4,7.3,7,,47,Engineering_Bay
000176,Space_Suit,20.0,17.6,48.9,8.61,39,,982,Airlock
000177,Medical_Scanner,24.0,44.0,49.8,26.29,100,2026-10-09T00:00:00Z,43,Medical_Bay
000178,Waste_Management_Kit,17.8,12.5,24.2,3.1,39,,64,Sanitation_Bay
000179,Vacuum_Sealed_Tools,33.6,32.3,45.9,24.91,26,,2701,Storage_Bay
000180,Food_Packet,13.1,17.1,27.7,10.0,42,2026-09-10T00:00:00Z,46,Storage_Bay
000181,Scientific_Sensor,32.3,21.5,13.4,4.65,58,,3156,Cockpit
000182,Circuit_Board,36.8,44.7,23.3,19.16,2,,3801,Engineering_Bay
000183,Oxygen_Cylinder,29.0,18.8,95.0,24.3,79,,156,Crew_Quarters
000184,Circuit_Board,30.4,41.9,34.8,22.16,61,,4173,Engineering_Bay
000185,Oxygen_Cylinder,27.1,25.0,96.7,36.9,27,,1978,Airlock
000186,Radiation_Shield,38.8,33.5,16.6,10.79,11,,2242,Engineering_Bay
000187,Food_Packet,27.0,12.9,25.4,3.5,28,2026-11-19T00:00:00Z,80,Storage_Bay
000188,Oxygen_Cylinder,21.3,21.3,90.7,14.7,68,,1501,Crew_Quarters
000189,First_Aid_Kit,26.3,15.6,23.5,6.3,23,,49,Crew_Quarters
000190,Circuit_Board,25.4,48.0,37.4,22.8,79,,4591,Engineering_Bay
000191,Seed_Packets,27.7,26.4,21.0,5.8,35,,20,Lab
000192,Pressure_Regulator,17.3,35.7,23.8,7.35,66,,3016,Engineering_Bay
000193,CO2_Scrubber,38.7,31.6,46.6,28.49,33,,403,Life_Support
000194,Solar_Panel,78.5,98.0,3.7,7.2,4,,2754,External_Storage
000195,EV_Suit_Battery,21.9,42.3,36.4,16.86,33,,726,Storage_Bay
000196,CO2_Scrubber,42.1,18.2,49.4,18.93,27,,884,Engineering_Bay
000197,Radiation_Shield,31.5,26.6,10.8,4.52,46,,631,Engineering_Bay
000198,Solar_Panel,70.9,48.8,4.2,13.7,58,,3749,External_Storage
000199,CO2_Scrubber,12.4,12.0,31.8,2.37,5,,713,Engineering_Bay
000200,Microgravity_Lab_Kit,26.4,15.7,16.7,3.0,16,,63,Lab
000201,Antibiotic_Supply,29.0,16.4,24.2,5.75,61,2026-10-16T00:00:00Z,1911,Lab
000202,First_Aid_Kit,21.9,22.8,21.2,2.9,75,,83,Crew_Quarters
000203,Thruster_Fuel,26.9,11.4,25.7,3.94,59,,962,Storage_Bay
000204,Thruster_Fuel,19.0,35.6,15.5,5.24,14,,1569,Engine_Bay
000205,Handheld_Spectrometer,10.6,32.8,31.2,5.42,57,,2584,Lab
000206,Food_Packet,19.2,29.4,26.8,1.1,68,2026-09-27T00:00:00Z,26,Storage_Bay
000207,CO2_Scrubber,34.8,17.8,27.8,8.61,71,,781,Life_Support
000208,Oxygen_Cylinder,25.6,29.0,53.0,16.0,86,,1834,Airlock
000209,Waste_Management_Kit,29.0,14.9,28.9,2.4,39,,89,Engineering_Bay
000210,Navigation_Module,21.1,15.7,22.4,3.71,80,,2295,Command_Center
000211,Helmet_Visor,46.7,41.7,19.6,19.08,52,,4147,Crew_Quarters
000212,Lab_Microscope,22.9,42.0,18.9,9.09,18,,847,Lab
000213,Tool_Kit,16.2,27.9,18.7,8.3,35,,57,Storage_Bay
000214,Battery_Pack,47.0,46.1,21.4,23.18,74,,262,Power_Bay
000215,Waste_Management_Kit,28.0,19.9,14.0,9.9,87,,21,Sanitation_Bay
000216,Fire_Extinguisher,41.4,24.4,11.5,5.81,51,,1043,Engineering_Bay
000217,Fire_Extinguisher,19.2,14.1,20.2,2.73,42,,3748,Engineering_Bay
000218,Seed_Packets,11.0,20.9,27.5,8.7,89,,65,Greenhouse
000219,3D_Printer,12.7,14.8,37.8,3.55,44,,1361,Lab
000220,Research_Samples,11.8,24.3,24.2,9.9,47,,4641,Lab
000221,CO2_Scrubber,12.6,20.0,34.6,4.36,59,,105,Engineering_Bay
000222,Circuit_Board,36.9,24.0,36.1,15.99,15,,4191,Storage_Bay
000223,Oxygen_Cylinder,21.1,19.1,69.7,36.1,29,,2519,Crew_Quarters
000224,Helmet_Visor,43.1,26.7,29.5,16.97,38,,1027,Crew_Quarters
000225,Emergency_Beacon,34.1,25.7,46.1,20.2,95,,3374,Command_Center
000226,Radiation_Shield,22.1,16.0,36.8,6.51,83,,889,Engineering_Bay
000227,3D_Printer,34.9,39.3,36.5,25.03,39,,4453,Engineering_Bay
000228,Water_Purification_Unit,29.3,46.7,14.7,10.06,21,,1473,Crew_Quarters
000229,Circuit_Board,30.4,25.9,43.9,17.28,95,,4611,Storage_Bay
000230,Asteroid_Sample_Container,25.1,16.2,20.5,9.2,15,,4175,Lab
000231,Helmet_Visor,11.0,36.2,48.4,9.64,57,,1175,Storage_Bay
000232,EV_Suit_Battery,27.0,27.5,36.5,13.55,73,,182,Storage_Bay
000233,Tether_Reel,11.1,39.9,39.3,8.7,58,,1556,Airlock
000234,First_Aid_Kit,12.4,17.3,26.2,9.5,30,,32,Crew_Quarters
000235,Radiation_Shield,49.5,46.8,23.2,26.87,92,,463,Storage_Bay
000236,Communication_Device,29.2,13.4,14.5,2.84,19,,1910,Command_Center
000237,Tether_Reel,18.7,15.9,25.6,3.81,17,,4650,External_Storage
000238,Gyroscope_Module,47.9,35.9,12.1,10.4,93,,4176,Cockpit
000239,Fire_Extinguisher,12.5,25.7,32.5,5.22,12,,2873,Engineering_Bay
000240,Radiation_Shield,44.4,23.4,14.9,7.74,94,,2447,Engineering_Bay
000241,Emergency_Beacon,37.5,25.6,38.2,18.34,57,,533,Command_Center
000242,Medical_Scanner,31.5,16.9,24.8,6.6,77,2025-11-07T00:00:00Z,22,Medical_Bay
000243,Lab_Microscope,21.5,10.9,41.8,4.9,16,,4979,Medical_Bay
000244,LED_Work_Light,10.5,38.1,28.0,5.6,17,,965,Engineering_Bay
000245,Pressure_Regulator,48.8,41.9,43.6,44.57,78,,242,Airlock
000246,Asteroid_Sample_Container,17.8,29.8,24.1,5.2,44,,4039,Storage_Bay
000247,Pressure_Regulator,15.4,49.2,39.2,14.85,22,,4506,Airlock
000248,CO2_Scrubber,42.5,14.7,33.0,10.31,98,,660,Engineering_Bay
000249,Space_Suit,49.6,33.2,17.2,14.16,8,,2663,Storage_Bay
000250,Emergency_Oxygen_Mask,26.6,44.2,27.1,15.93,26,,3044,Medical_Bay
000251,LED_Work_Light,17.6,26.0,26.0,5.95,10,,1474,Maintenance_Bay
000252,Seed_Packets,15.1,13.7,24.1,5.9,85,,27,Lab
000253,Asteroid_Sample_Container,19.6,26.7,15.1,4.6,91,,3083,Lab
000254,Solar_Panel,49.8,56.9,3.3,16.0,35,,73,External_Storage
000255,Gyroscope_Module,49.4,41.9,47.5,49.16,78,,3510,Cockpit
000256,LED_Work_Light,18.1,43.3,45.6,17.87,17,,3789,Engineering_Bay
000257,3D_Printer,42.3,46.8,36.4,36.03,32,,4550,Engineering_Bay
000258,Antibiotic_Supply,20.9,40.4,11.2,4.73,3,2025-10-23T00:00:00Z,4014,Medical_Bay
000259,Gyroscope_Module,41.3,43.0,28.1,24.95,28,,4188,Cockpit
000260,EV_Suit_Battery,40.6,49.6,19.4,19.53,59,,859,Airlock
000261,Research_Samples,23.2,11.6,25.6,9.1,22,,753,Storage_Bay
000262,Emergency_Oxygen_Mask,13.2,34.8,34.7,7.97,19,,1411,Medical_Bay
000263,Food_Packet,11.9,20.1,25.3,4.7,94,2025-10-01T00:00:00Z,40,Storage_Bay
000264,Scientific_Sensor,29.7,17.6,46.4,12.13,87,,1498,Lab
000265,Laptop,28.1,23.9,13.8,4.63,77,,3220,Crew_Quarters
000266,First_Aid_Kit,16.0,17.1,17.2,7.9,24,,25,Medical_Bay
000267,Seed_Packets,12.5,15.4,24.7,1.6,47,,11,Lab
000268,Radiation_Shield,33.5,44.0,38.4,28.3,45,,3687,Storage_Bay
000269,Emergency_Oxygen_Mask,48.9,24.3,45.9,27.27,77,,352,Crew_Quarters
000270,Laptop,43.3,20.0,22.6,9.79,97,,1680,Command_Center
000271,LED_Work_Light,16.9,20.8,25.7,4.52,93,,2262,Engineering_Bay
000272,Battery_Pack,23.6,16.0,46.5,8.78,78,,558,Power_Bay
000273,Helmet_Visor,10.4,21.6,28.4,3.19,20,,1364,Crew_Quarters
000274,Handheld_Spectrometer,45.2,45.0,32.6,33.15,55,,127,Engineering_Bay
000275,Space_Suit,11.9,35.4,29.4,6.19,6,,4992,Airlock
000276,Handheld_Spectrometer,30.6,24.4,45.8,17.1,30,,2748,Engineering_Bay
000277,Water_Purification_Unit,14.4,49.8,12.2,4.37,86,,283,Crew_Quarters
000278,3D_Printer,40.0,28.0,13.7,7.67,65,,2013,Lab
000279,Emergency_Oxygen_Mask,40.6,48.2,35.2,34.44,71,,1224,Crew_Quarters
000280,Asteroid_Sample_Container,28.9,15.7,15.1,3.2,5,,4953,Storage_Bay
000281,Helmet_Visor,47.5,20.7,40.9,20.11,95,,234,Storage_Bay
000282,Communication_Device,25.0,25.8,17.5,5.64,100,,3388,Crew_Quarters
000283,Microgravity_Lab_Kit,16.8,25.0,14.6,2.6,32,,7,Lab
000284,Pressure_Regulator,17.5,29.9,37.9,9.92,99,,2579,Engineering_Bay
000285,Waste_Management_Kit,22.3,21.5,26.5,2.9,62,,100,Sanitation_Bay
000286,Gyroscope_Module,32.4,41.8,44.8,30.34,90,,2177,Cockpit
000287,Water_Bottle,33.0,34.2,25.2,14.22,9,,233,Crew_Quarters
000288,Radiation_Shield,12.5,32.6,42.9,8.74,26,,1072,Storage_Bay
000289,Scientific_Sensor,14.9,24.7,31.3,5.76,77,,1567,Cockpit
000290,Emergency_Beacon,25.3,14.8,30.5,5.71,85,,1841,Cockpit
000291,Vacuum_Sealed_Tools,43.4,33.2,33.5,24.13,71,,1716,Maintenance_Bay
000292,Tether_Reel,45.3,46.7,47.4,50.14,96,,4820,External_Storage
000293,Research_Samples,23.7,20.7,15.6,5.8,65,,1025,Lab
000294,Battery_Pack,13.0,38.7,42.9,10.79,47,,351,External_Storage
000295,Water_Bottle,32.0,11.7,21.2,3.97,63,,2342,Storage_Bay
000296,Emergency_Beacon,34.3,18.5,12.5,3.97,85,,4625,Command_Center
000297,Research_Samples,18.1,28.5,11.0,9.7,18,,2141,Storage_Bay
000298,Medical_Scanner,41.1,29.1,33.8,20.21,53,2026-08-16T00:00:00Z,22,Medical_Bay
000299,Scientific_Sensor,33.4,39.7,50.0,33.15,79,,87,Lab
000300,Circuit_Board,21.2,22.4,37.6,8.93,78,,2590,Storage_Bay
000301,Helmet_Visor,11.0,13.6,22.1,1.65,13,,324,Crew_Quarters
000302,Lab_Microscope,43.8,12.6,23.0,6.35,53,,172,Lab
000303,Water_Purification_Unit,13.3,36.8,38.7,9.47,45,,2941,Life_Support
000304,3D_Printer,15.9,17.7,35.9,5.05,6,,3290,Lab
000305,Handheld_Spectrometer,41.1,33.3,33.2,22.72,69,,509,Engineering_Bay
000306,Lab_Microscope,11.1,12.4,14.1,0.97,62,,1594,Lab
000307,Waste_Management_Kit,27.6,13.5,23.4,8.4,26,,88,Sanitation_Bay
000308,Lab_Microscope,49.8,40.4,36.3,36.52,44,,1732,Lab
000309,Vacuum_Sealed_Tools,25.1,26.7,10.1,3.38,13,,1683,Maintenance_Bay
000310,Solar_Panel,45.3,55.3,1.9,20.0,14,,3917,External_Storage
000311,Handheld_Spectrometer,28.6,14.2,45.5,9.24,77,,2915,Lab
000312,Scientific_Sensor,10.9,41.7,50.0,11.36,52,,4844,Lab
000313,Microgravity_Lab_Kit,15.4,22.9,17.9,5.6,2,,34,Crew_Quarters
000314,Space_Suit,15.3,24.0,23.5,4.31,18,,3771,Storage_Bay
000315,Communication_Device,15.0,17.1,20.0,2.56,87,,4632,Crew_Quarters
000316,LED_Work_Light,14.5,18.1,45.6,5.98,55,,1494,Engineering_Bay
000317,Tether_Reel,18.4,15.1,32.0,4.45,84,,3807,External_Storage
000318,Oxygen_Cylinder,29.0,27.1,61.8,35.4,22,,4159,Crew_Quarters
000319,3D_Printer,36.2,47.7,36.1,31.17,85,,4538,Lab
000320,Waste_Management_Kit,20.3,12.6,14.2,1.7,53,,8,Sanitation_Bay
000321,Gyroscope_Module,17.3,21.8,29.5,5.56,40,,3321,Cockpit
000322,Antibiotic_Supply,42.0,26.5,10.4,5.79,98,2026-12-12T00:00:00Z,806,Medical_Bay
000323,Handheld_Spectrometer,26.4,33.9,47.1,21.08,25,,1589,Lab
000324,Battery_Pack,33.3,11.0,21.0,3.85,97,,642,External_Storage
000325,Space_Suit,38.1,20.5,24.1,9.41,88,,1199,Storage_Bay
000326,Waste_Management_Kit,24.8,12.4,14.8,4.8,87,,97,Sanitation_Bay
000327,Space_Suit,27.6,10.7,25.3,3.74,26,,322,Airlock
000328,Water_Purification_Unit,30.7,13.6,16.0,3.34,86,,3160,Life_Support
